N;Kernel;Method;Setting;Time;MEM;Iterations;AUC
128000;Poly2D;RLScore;Setting 1;21.046693240990862;0.036008284;33;0.7456996094285318
128000;Poly2D;RLScore;Setting 2;14.972617981984513;0.036009212;23;0.7125035177798349
128000;Poly2D;RLScore;Setting 3;16.53899057698436;0.036009212;23;0.7137605277420063
128000;Poly2D;RLScore;Setting 4;9.731814525002846;0.036009212;14;0.6934739139390567
128000;Kronecker;RLScore;Setting 1;8.091966486012097;0.021664948;38;0.7454243572369887
128000;Kronecker;RLScore;Setting 2;6.260268936021021;0.02166426;29;0.7114217890226552
128000;Kronecker;RLScore;Setting 3;5.1281872559920885;0.02166426;23;0.7111789119266744
128000;Kronecker;RLScore;Setting 4;2.580075678997673;0.021662524;12;0.6942865496284041
128000;Symmetric;RLScore;Setting 1;19.220161892997567;0.029862508;45;0.7549416112475517
128000;Symmetric;RLScore;Setting 2;14.118374370009406;0.029862444;33;0.7136385491135663
128000;Symmetric;RLScore;Setting 3;23.368325090006692;0.029858756;55;0.7078049401749975
128000;Symmetric;RLScore;Setting 4;4.7625479029957205;0.029858756;11;0.693946647053581
128000;MLPK;RLScore;Setting 1;516.2143641789735;0.079060084;236;0.7697162760508558
128000;MLPK;RLScore;Setting 2;395.4202443030081;0.079060148;183;0.6332476980675472
128000;MLPK;RLScore;Setting 3;460.83545884900377;0.079059444;218;0.6292491819747853
128000;MLPK;RLScore;Setting 4;85.07780939000077;0.07906006;40;0.6007215962590824
256000;Linear;RLScore;Setting 1;112.95204524401925;0.0595975;93;0.6765299222828074
256000;Linear;RLScore;Setting 2;18.41330672899494;0.05958458;15;0.6535015022692683
256000;Linear;RLScore;Setting 3;18.426027829991654;0.05958458;15;0.6535308412963309
256000;Linear;RLScore;Setting 4;2.5775855540123302;0.05753178;2;0.645878412286438
256000;Poly2D;RLScore;Setting 1;147.0921418729995;0.071887852;81;0.7475901065361906
256000;Poly2D;RLScore;Setting 2;83.38417356301215;0.071897556;46;0.7180412944138975
256000;Poly2D;RLScore;Setting 3;61.83709226798965;0.071897556;34;0.7195989688093329
256000;Poly2D;RLScore;Setting 4;34.56877970599453;0.07188878;19;0.7025483383319365
256000;Kronecker;RLScore;Setting 1;36.32851538900286;0.04319222;59;0.7486095099257271
256000;Kronecker;RLScore;Setting 2;21.670809932023985;0.0431881;35;0.7183909185136936
256000;Kronecker;RLScore;Setting 3;27.151352151005995;0.0431881;44;0.7182379723360489
256000;Kronecker;RLScore;Setting 4;9.227648266998585;0.043186364;15;0.7039302193411349
256000;Symmetric;RLScore;Setting 1;64.50708081200719;0.059588268;53;0.7531486631109391
256000;Symmetric;RLScore;Setting 2;154.1840830029978;0.059588204;120;0.7093235977294774
256000;Symmetric;RLScore;Setting 3;109.47733817101107;0.059588204;90;0.712366740800296
256000;Symmetric;RLScore;Setting 4;17.182190881023416;0.059584516;14;0.7044233551650723
256000;MLPK;RLScore;Setting 1;1792.181002419995;0.15801578;298;0.7703067848643786
